Arbol,Altura,DAP,R_Local,Riqueza,Cobertura,LtNG,LtNM,LtNS,LgOG,LgOM,LgOS
1,20,29,7,12,116,19,29,10.4,97,2,19
2,15,21,3,3,62,19,29,10.4,97,2,19
5,25,70,2,2,164,19,29,10.4,97,2,19
7,24,48,3,3,92,19,29,10.4,97,2,19
8,17,31,2,3,464,19,29,10.4,97,2,19
9,23,53,5,5,37,19,29,10.5,97,2,18.9
11,11.8,29,1,2,2.5,19,29,10.5,97,2,18.9
13,16.6,76,6,6,128,19,29,10.5,97,2,18.9
14,12.5,36,7,13,318,19,29,13.1,97,2,20.7
15,14,35,5,10,266,19,29,13.1,97,2,20.7
16,15,45,7,14,724,19,29,13.1,97,2,20.7
17,16,49,8,9,460.04,19,29,13.1,97,2,20.7
19,11,44,1,1,4.8,19,29,13.1,97,2,20.7
20,15,28,9,10,242,19,29,14.8,97,2,22.4
23,15,6,5,8,208,19,29,14.8,97,2,22.4
26,10,18,1,2,22,19,29,14.8,97,2,22.4
27,15,18,7,8,144.8,19,29,14.8,97,2,22.4
28,15,17,8,8,141.2,19,29,14.8,97,2,22.4
32,24,44,2,5,110,19,29,14.8,97,2,22.4
33,20,25,7,8,346,19,29,14.8,97,2,22.4
34,24,25,6,6,204.8,19,29,14.8,97,2,22.4
40,13,55,3,8,168,19,29,14.8,97,2,22.4
41,15,28,7,13,118,19,29,16.4,97,2,24.1
42,16,16,3,5,212,19,29,16.4,97,2,24.1
43,17,21,7,11,104,19,29,16.4,97,2,24.1
45,15,17,6,10,264,19,29,16.4,97,2,24.1
47,20,31,8,10,264,19,29,16.4,97,2,24.1
51,10,44,2,3,88,19,29,16.4,97,2,24.1
54,20,22,6,9,660,19,29,16.4,97,2,24.1
58,18,17,9,11,244,19,29,16.4,97,2,24.1
62,20,20,4,5,136,19,29,16.4,97,2,24.1
64,15,19,6,11,228,19,29,17.9,97,2,25.8
66,15.1,38,1,4,8,19,29,17.9,97,2,25.8
69,12.6,30,7,12,380,19,29,17.9,97,2,25.8
72,10,19,5,6,120,19,29,17.9,97,2,25.8
73,20,59,1,5,72,19,29,17.9,97,2,25.8
76,15.1,18,5,8,220,19,29,17.9,97,2,25.8
77,18,29,2,2,12,19,29,19,97,2,26.8
85,22,26,3,3,12,19,29,19,97,2,26.8
88,20,27,6,8,100,19,29,19,97,2,26.8
89,22,24,8,8,316,19,29,19,97,2,26.8
90,20,25,6,7,168,19,29,19,97,2,26.8
98,10,33,6,8,656,19,29,19.4,97,2,27.4
100,15,39,1,3,104,19,29,19.4,97,2,27.4
112,11,10,3,4,80,19,29,19.4,97,2,27.4
114,2.5,2,2,7,168,19,29,19.4,97,2,27.4
117,18,31,2,7,124,19,29,19.7,97,2,30.2
118,5.5,10,3,3,40,19,29,19.7,97,2,30.2
119,2.5,5,1,3,4,19,29,19.7,97,2,30.2
122,11,47,4,6,88,19,29,19.7,97,2,30.2
123,17,40,3,4,124,19,29,19.7,97,2,30.2
124,18,28,1,1,8,19,29,19.7,97,2,30.2
125,15,55,1,2,8,19,29,19.7,97,2,30.2
126,25,43,6,10,344,19,29,19.7,97,2,30.2
127,8.8,9,1,7,8,19,29,22.7,97,2,45.3
141,16,41,8,9,148,19,29,22.7,97,2,45.3
142,15.2,84,5,6,48,19,29,22.7,97,2,45.3
143,25.9,71,7,8,72,19,29,22.7,97,2,45.3
155,21.3,39,4,4,176,19,29,26.6,97,2,20.6
